artist_id,artist_name
1,"Gen Hoshino"
2,"Ben Woodward"
3,"Ingrid Michaelson"
4,ZAYN
5,"Kina Grannis"
6,"Chord Overstreet"
7,"Tyrone Wells"
8,"A Great Big World"
9,"Christina Aguilera"
10,"Jason Mraz"
11,"Colbie Caillat"
12,"Ross Copperman"
13,"Zack Tabudlo"
14,"Dan Berk"
15,"Anna Hamilton"
16,Deepend
17,"Landon Pigg"
18,"Andrew Foy"
19,"Renee Foy"
20,"Boyce Avenue"
21,"Bea Miller"
22,"Jennel Garcia"
23,"Brandi Carlile"
24,"Sam Smith"
25,"KT Tunstall"
26,"Eddie Vedder"
27,Lucius
28,"Highland Peak"
29,"Motohiro Hata"
30,"Andrew Belle"
31,"Ron Pope"
32,"Adam Christopher"
33,"Aron Wright"
34,"Sara Bareilles"
35,"Kurt Cobain"
36,"Tim Halperin"
37,"Canyon City"
38,"Aaron Espe"
39,"Tyler Ward"
40,"Five For Fighting"
41,"Bailey Jehl"
42,"Nusrat Fateh Ali Khan"
43,"Drew Holcomb & The Neighbors"
44,"Gabrielle Aplin"
45,"The Civil Wars"
46,"Callum J Wright"
47,"Fifth Harmony"
48,"JP Cooper"
49,"Mone Kamishiraishi"
50,"John Adams"
51,Kitri
52,Augustana
53,"Matthew Perryman Jones"
54,"Ray LaMontagne"
55,"Sierra Ferrell"
56,"Meg Birch"
57,"Catherine Feeny"
58,"Joshua Hyslop"
59,"JJ Heller"
60,"Howie Day"
61,"Ben Rector"
62,"Matt Nathanson"
63,"Rachael Yamagata"
64,Parachute
65,"Susie Suh"
66,"Robot Koch"
67,"Lindsey Stirling"
68,"Eden Elf"
69,"Ren Avel"
70,"Rachel Grae"
71,"Cary Brothers"
72,"The Mayries"
73,"Joseph Sullinger"
74,Yonnyboii
75,"Tobey Rosen"
76,Aqualung
77,Karis
78,"Ray Lorraine"
79,"Agustín Amigó"
80,Nylonwings
81,"Amy Stroup"
82,"Connie Talbot"
83,"Caleb Santos"
84,"Viva Music Publishing Inc."
85,"Priscilla Ahn"
86,"Jon Bryant"
87,"Donovan Woods"
88,"Angelina Cruz"
89,"Stephen Speaks"
90,"The Weepies"
91,"Deb Talan"
92,"Steve Tannen"
93,"Freddie King"
94,"Taj Mahal"
95,"Keb' Mo'"
96,"Gerald Albright"
97,"Thomas Daniel"
98,"Masayoshi Yamazaki"
99,"Todd Carey"
100,Ariza
101,"Chuck Leavell"
102,YUZU
103,"Jonah Baker"
104,Billkin
105,"Anna Nalick"
106,"Us The Duo"
107,"Tenille Townes"
108,"Megan Davies"
109,"Megan Nicole"
110,"Amos Lee"
111,"Meghan Trainor"
112,"Days N Daze"
113,"Mindy Gledhill"
114,"Dave Barnes"
115,"Get Dead"
116,"Albert King"
